group,Locus,id,n_v,span_bp,density_per_mb
Bird,IGH,European_Shag/bGulAri2_alt,15,10867,1380.3257568786235
Bird,IGL,European_Shag/bGulAri2_alt,12,12271,977.9154103170075
Bird,TRA,European_Shag/bGulAri2_alt,25,324154,77.12383620131172
Bird,TRB,European_Shag/bGulAri2_alt,3,57327,52.33136218535768
Bird,TRG,European_Shag/bGulAri2_alt,12,30743,390.33275867677196
Bird,IGH,European_Shag/bGulAri2_pri,49,26975,1816.4967562557924
Bird,IGL,European_Shag/bGulAri2_pri,18,25073,717.9037211342878
Bird,TRA,European_Shag/bGulAri2_pri,83,793102,104.65236501736221
Bird,TRB,European_Shag/bGulAri2_pri,3,57327,52.33136218535768
Bird,TRG,European_Shag/bGulAri2_pri,19,65974,287.99223936702333
Bird,IGH,Great_Cormorant/bPhaCar2_alt,103,53083,1940.3575532656407
Bird,IGL,Great_Cormorant/bPhaCar2_alt,30,42563,704.8375349481945
Bird,TRA,Great_Cormorant/bPhaCar2_alt,78,905497,86.14053939438783
Bird,TRB,Great_Cormorant/bPhaCar2_alt,3,57480,52.192066805845506
Bird,TRG,Great_Cormorant/bPhaCar2_alt,21,106573,197.04803280380585
Bird,IGH,Great_Cormorant/bPhaCar2_pri,140,78259,1788.931624477696
Bird,IGL,Great_Cormorant/bPhaCar2_pri,18,31106,578.6664952099273
Bird,TRA,Great_Cormorant/bPhaCar2_pri,20,405557,49.31489285106656
Bird,TRB,Great_Cormorant/bPhaCar2_pri,3,57511,52.16393385613187
Bird,TRG,Great_Cormorant/bPhaCar2_pri,27,140688,191.91402251791197
Bird,IGH,Black_Rail/bLatJam1_alt,347,1056408,328.4715753761804
Bird,IGL,Black_Rail/bLatJam1_alt,34,65778,516.8901456413998
Bird,TRA,Black_Rail/bLatJam1_alt,40,344718,116.03687651935785
Bird,TRB,Black_Rail/bLatJam1_alt,14,94709,147.82122079211058
Bird,TRG,Black_Rail/bLatJam1_alt,15,56802,264.0752086194148
Bird,IGH,Black_Rail/bLatJam1_pri,329,472160,696.797695696374
Bird,IGL,Black_Rail/bLatJam1_pri,35,67012,522.2945144153285
Bird,TRA,Black_Rail/bLatJam1_pri,30,259065,115.80105378958949
Bird,TRB,Black_Rail/bLatJam1_pri,13,87897,147.9003834033016
Bird,TRG,Black_Rail/bLatJam1_pri,15,56684,264.6249382541811
Bird,IGH,Common_Moorhen/bGalChl1_pri,784,2493699,314.392394591328
Bird,IGL,Common_Moorhen/bGalChl1_pri,30,59969,500.25846687455186
Bird,TRA,Common_Moorhen/bGalChl1_pri,22,121849,180.55133813162192
Bird,TRB,Common_Moorhen/bGalChl1_pri,22,119876,183.52297373953084
Bird,TRG,Common_Moorhen/bGalChl1_pri,11,30936,355.5727954486682
Bird,IGH,Eurasian_Crane/bGruGru1_pri,169,73333,2304.555929799681
Bird,IGL,Eurasian_Crane/bGruGru1_pri,24,22874,1049.2261956806856
Bird,TRA,Eurasian_Crane/bGruGru1_pri,50,1308177,38.22112756912865
Bird,TRB,Eurasian_Crane/bGruGru1_pri,8,178980,44.6977315901218
Bird,TRG,Eurasian_Crane/bGruGru1_pri,37,115151,321.317226945489
Bird,IGL,Grey_CrownedCrane/bBalReg1_alt,30,33244,902.4184815305017
Bird,TRA,Grey_CrownedCrane/bBalReg1_alt,14,129759,107.89232346118573
Bird,TRB,Grey_CrownedCrane/bBalReg1_alt,8,179381,44.597811362407384
Bird,TRG,Grey_CrownedCrane/bBalReg1_alt,30,102982,291.313044998155
Bird,IGH,Grey_CrownedCrane/bBalReg1_pri,44,21065,2088.7728459530026
Bird,IGL,Grey_CrownedCrane/bBalReg1_pri,29,30933,937.5101024795526
Bird,TRA,Grey_CrownedCrane/bBalReg1_pri,23,204727,112.34473225319573
Bird,TRB,Grey_CrownedCrane/bBalReg1_pri,4,67773,59.020553907898424
Bird,TRG,Grey_CrownedCrane/bBalReg1_pri,39,121851,320.063027796243
Bird,IGH,Takahe/bPorHoc1_alt,130,2279731,57.02427172328665
Bird,IGL,Takahe/bPorHoc1_alt,57,99465,573.0659025787966
Bird,TRA,Takahe/bPorHoc1_alt,33,348757,94.62175669592295
Bird,TRB,Takahe/bPorHoc1_alt,18,94878,189.71732119142476
Bird,TRG,Takahe/bPorHoc1_alt,27,98374,274.46276455160915
Bird,IGH,Takahe/bPorHoc1_pri,187,820374,227.94481541345775
Bird,IGL,Takahe/bPorHoc1_pri,52,91295,569.582123884112
Bird,TRA,Takahe/bPorHoc1_pri,29,283939,102.13461342048821
Bird,TRB,Takahe/bPorHoc1_pri,16,89081,179.6118139670637
Bird,TRG,Takahe/bPorHoc1_pri,22,87172,252.37461570228973
Bird,IGH,Virginia_Rail/bRalLim1_alt,1293,1827684,707.4527106436342
Bird,IGL,Virginia_Rail/bRalLim1_alt,28,51876,539.7486313516848
Bird,TRA,Virginia_Rail/bRalLim1_alt,32,211027,151.63936368332014
Bird,TRB,Virginia_Rail/bRalLim1_alt,16,110699,144.5360843368052
Bird,TRG,Virginia_Rail/bRalLim1_alt,23,77457,296.9389467704662
Bird,IGH,Virginia_Rail/bRalLim1_pri,789,957430,824.0811338687946
Bird,IGL,Virginia_Rail/bRalLim1_pri,30,54433,551.1362592544963
Bird,TRA,Virginia_Rail/bRalLim1_pri,36,337107,106.79101887531259
Bird,TRB,Virginia_Rail/bRalLim1_pri,16,105806,151.22015764701436
Bird,TRG,Virginia_Rail/bRalLim1_pri,24,69612,344.7681434235477
Bird,IGH,Whooping_Crane/bGruAme1_alt,95,39192,2423.9640743008777
Bird,IGL,Whooping_Crane/bGruAme1_alt,26,25103,1035.732780942517
Bird,TRA,Whooping_Crane/bGruAme1_alt,7,64197,109.03936321011885
Bird,TRB,Whooping_Crane/bGruAme1_alt,8,156764,51.032124722512826
Bird,TRG,Whooping_Crane/bGruAme1_alt,19,56599,335.69497694305556
Bird,IGH,Whooping_Crane/bGruAme1_pri,83,36251,2289.592011254862
Bird,IGL,Whooping_Crane/bGruAme1_pri,24,23341,1028.233580395013
Bird,TRA,Whooping_Crane/bGruAme1_pri,73,1079992,67.59309328217246
Bird,TRB,Whooping_Crane/bGruAme1_pri,6,125065,47.97505297245432
Bird,TRG,Whooping_Crane/bGruAme1_pri,36,108133,332.9233443999519
Bird,IGH,BandTailed_Pigeon/bPatFas1_alt,2,9,222222.22222222222
Bird,IGL,BandTailed_Pigeon/bPatFas1_alt,17,17490,971.9839908519155
Bird,TRA,BandTailed_Pigeon/bPatFas1_alt,30,564596,53.13533925142934
Bird,TRB,BandTailed_Pigeon/bPatFas1_alt,4,47703,83.8521686267111
Bird,TRG,BandTailed_Pigeon/bPatFas1_alt,23,58630,392.2906361930752
Bird,IGH,BandTailed_Pigeon/bPatFas1_pri,22,17381,1265.7499568494331
Bird,IGL,BandTailed_Pigeon/bPatFas1_pri,18,18233,987.2209729611145
Bird,TRA,BandTailed_Pigeon/bPatFas1_pri,79,915812,86.26224596314528
Bird,TRB,BandTailed_Pigeon/bPatFas1_pri,4,47679,83.89437697938295
Bird,TRG,BandTailed_Pigeon/bPatFas1_pri,23,58630,392.2906361930752
Bird,IGH,Eurasian_CollaredDove/bStrDea1_pri,19,12384,1534.2377260981914
Bird,IGL,Eurasian_CollaredDove/bStrDea1_pri,20,24062,831.1861025683651
Bird,TRA,Eurasian_CollaredDove/bStrDea1_pri,37,268720,137.6897886275677
Bird,TRB,Eurasian_CollaredDove/bStrDea1_pri,8,94931,84.27173420695031
Bird,TRG,Eurasian_CollaredDove/bStrDea1_pri,6,17209,348.6547736649428
Bird,IGL,European_Turtle_Dove/bStrTur1_alt,19,17284,1099.2825734783614
Bird,TRA,European_Turtle_Dove/bStrTur1_alt,11,89917,122.33504231680328
Bird,TRB,European_Turtle_Dove/bStrTur1_alt,2,4893,408.7471898630697
Bird,TRG,European_Turtle_Dove/bStrTur1_alt,11,28764,382.42247253511334
Bird,IGL,European_Turtle_Dove/bStrTur1_pri,17,17737,958.4484411118002
Bird,TRA,European_Turtle_Dove/bStrTur1_pri,34,248350,136.9035635192269
Bird,TRB,European_Turtle_Dove/bStrTur1_pri,5,57991,86.22027556000069
Bird,TRG,European_Turtle_Dove/bStrTur1_pri,27,83696,322.5960619384439
Bird,IGH,Nicobar_Pigeon/bCalNic1_alt,26,44395,585.6515373352855
Bird,IGL,Nicobar_Pigeon/bCalNic1_alt,21,21790,963.7448370812299
Bird,TRA,Nicobar_Pigeon/bCalNic1_alt,32,612477,52.24685988208537
Bird,TRB,Nicobar_Pigeon/bCalNic1_alt,5,49183,101.66114307789277
Bird,TRG,Nicobar_Pigeon/bCalNic1_alt,20,54584,366.40773853143776
Bird,IGH,Nicobar_Pigeon/bCalNic1_pri,22,40076,548.9569817347041
Bird,IGL,Nicobar_Pigeon/bCalNic1_pri,21,21789,963.7890678782873
Bird,TRA,Nicobar_Pigeon/bCalNic1_pri,30,582495,51.50258800504726
Bird,TRB,Nicobar_Pigeon/bCalNic1_pri,3,12744,235.40489642184556
Bird,TRG,Nicobar_Pigeon/bCalNic1_pri,21,58956,356.1978424587828
Bird,IGH,Pink_Pigeon/bNesMay2_alt,22,13766,1598.1403457794565
Bird,IGL,Pink_Pigeon/bNesMay2_alt,18,18060,996.6777408637874
Bird,TRA,Pink_Pigeon/bNesMay2_alt,53,421935,125.61176484529608
Bird,TRB,Pink_Pigeon/bNesMay2_alt,3,44040,68.11989100817438
Bird,IGH,Pink_Pigeon/bNesMay2_pri,22,14369,1531.0738395156238
Bird,IGL,Pink_Pigeon/bNesMay2_pri,19,20189,941.1065431670712
Bird,TRA,Pink_Pigeon/bNesMay2_pri,49,378552,129.44060525370358
Bird,TRB,Pink_Pigeon/bNesMay2_pri,3,44047,68.10906531659363
Bird,TRG,Pink_Pigeon/bNesMay2_pri,22,125477,175.33093714385902
Bird,IGH,Rock_Dove/bColLiv1_alt,16,10493,1524.8260745258742
Bird,IGL,Rock_Dove/bColLiv1_alt,18,19383,928.6488159727596
Bird,TRA,Rock_Dove/bColLiv1_alt,62,445105,139.2929758146954
Bird,TRB,Rock_Dove/bColLiv1_alt,3,20659,145.21516046275232
Bird,TRG,Rock_Dove/bColLiv1_alt,23,64598,356.04817486609494
Bird,IGH,Rock_Dove/bColLiv1_pri,16,10405,1537.722248918789
Bird,IGL,Rock_Dove/bColLiv1_pri,18,19708,913.3346864217576
Bird,TRA,Rock_Dove/bColLiv1_pri,52,406865,127.80652059036782
Bird,TRB,Rock_Dove/bColLiv1_pri,5,61655,81.09642364771713
Bird,TRG,Rock_Dove/bColLiv1_pri,31,96770,320.34721504598537
Bird,IGH,Bearded_Vulture/bGypBar2_alt,48,19821,2421.6739821401547
Bird,IGL,Bearded_Vulture/bGypBar2_alt,41,45255,905.9772400839687
Bird,TRA,Bearded_Vulture/bGypBar2_alt,14,321915,43.489741080720066
Bird,TRG,Bearded_Vulture/bGypBar2_alt,5,11105,450.24763619990995
Bird,IGH,Bearded_Vulture/bGypBar2_pri,58,31971,1814.1440680616809
Bird,IGL,Bearded_Vulture/bGypBar2_pri,62,69183,896.1739155572901
Bird,TRA,Bearded_Vulture/bGypBar2_pri,21,406608,51.646794947467825
Bird,TRB,Bearded_Vulture/bGypBar2_pri,4,46722,85.61277342579513
Bird,TRG,Bearded_Vulture/bGypBar2_pri,5,11099,450.49103522839897
Bird,IGH,Common_Buzzard/bButBut1_pri,88,54980,1600.5820298290287
Bird,IGL,Common_Buzzard/bButBut1_pri,34,39395,863.0536870161188
Bird,TRA,Common_Buzzard/bButBut1_pri,29,315112,92.03077001193226
Bird,TRB,Common_Buzzard/bButBut1_pri,6,54875,109.33940774487472
Bird,TRG,Common_Buzzard/bButBut1_pri,5,11187,446.94734960221683
Bird,IGH,Crested_Eagle/bMorGui1_alt,60,49855,1203.4901213519206
Bird,IGL,Crested_Eagle/bMorGui1_alt,38,42431,895.5716339468784
Bird,TRA,Crested_Eagle/bMorGui1_alt,24,471324,50.9203859765257
Bird,TRB,Crested_Eagle/bMorGui1_alt,4,47757,83.75735494273091
Bird,TRG,Crested_Eagle/bMorGui1_alt,5,11141,448.79274750920024
Bird,IGH,Crested_Eagle/bMorGui1_pri,66,49859,1323.7329268537276
Bird,IGL,Crested_Eagle/bMorGui1_pri,59,67545,873.4917462432453
Bird,TRA,Crested_Eagle/bMorGui1_pri,34,516937,65.77203798528642
Bird,TRB,Crested_Eagle/bMorGui1_pri,4,47758,83.75560115582729
Bird,TRG,Crested_Eagle/bMorGui1_pri,5,11152,448.35007173601144
Bird,IGH,European_Golden_Eagle/bAquChr1_alt,2,128,15625.0
Bird,TRA,European_Golden_Eagle/bAquChr1_alt,4,38074,105.05857015286023
Bird,TRB,European_Golden_Eagle/bAquChr1_alt,3,43716,68.62475981334066
Bird,TRG,European_Golden_Eagle/bAquChr1_alt,5,11203,446.30902436847276
Bird,IGH,European_Golden_Eagle/bAquChr1_pri,48,33576,1429.5925661186561
Bird,IGL,European_Golden_Eagle/bAquChr1_pri,35,35573,983.8922778511793
Bird,TRA,European_Golden_Eagle/bAquChr1_pri,8,89270,89.61577237593816
Bird,TRB,European_Golden_Eagle/bAquChr1_pri,6,57800,103.80622837370242
Bird,TRG,European_Golden_Eagle/bAquChr1_pri,5,11186,446.9873055605221
Bird,IGH,Golden_Eagle/bAquChr2_alt,62,39660,1563.2879475542109
Bird,IGL,Golden_Eagle/bAquChr2_alt,32,32357,988.9668387056897
Bird,TRA,Golden_Eagle/bAquChr2_alt,32,446862,71.61047482220462
Bird,TRB,Golden_Eagle/bAquChr2_alt,8,68792,116.29259216187928
Bird,TRG,Golden_Eagle/bAquChr2_alt,5,11218,445.71224817257973
Bird,IGH,Golden_Eagle/bAquChr2_pri,61,39632,1539.160274525636
Bird,IGL,Golden_Eagle/bAquChr2_pri,34,36871,922.1339263920154
Bird,TRA,Golden_Eagle/bAquChr2_pri,12,220416,54.44250871080139
Bird,TRB,Golden_Eagle/bAquChr2_pri,6,57769,103.86193287057073
Bird,TRG,Golden_Eagle/bAquChr2_pri,5,11242,444.7607187333215
Bird,IGH,Harpy_Eagle/bHarHar1_alt,51,29848,1708.6571964620746
Bird,IGL,Harpy_Eagle/bHarHar1_alt,34,35582,955.5393176325108
Bird,TRA,Harpy_Eagle/bHarHar1_alt,23,247201,93.04169481515042
Bird,TRB,Harpy_Eagle/bHarHar1_alt,6,57281,104.74677467222989
Bird,TRG,Harpy_Eagle/bHarHar1_alt,5,11174,447.46733488455345
Bird,IGH,Harpy_Eagle/bHarHar1_pri,62,44514,1392.8202363301434
Bird,IGL,Harpy_Eagle/bHarHar1_pri,71,68081,1042.8753984224672
Bird,TRA,Harpy_Eagle/bHarHar1_pri,35,495287,70.66609864583565
Bird,TRB,Harpy_Eagle/bHarHar1_pri,4,47725,83.81351492928235
Bird,TRG,Harpy_Eagle/bHarHar1_pri,5,11156,448.18931516672643
Bird,IGH,Northern_Goshawk/bAccGen1_alt,62,41415,1497.0421344923336
Bird,IGL,Northern_Goshawk/bAccGen1_alt,33,44525,741.1566535654126
Bird,TRG,Northern_Goshawk/bAccGen1_alt,4,8886,450.14629754670267
Bird,IGH,Northern_Goshawk/bAccGen1_pri,54,37334,1446.4027428081642
Bird,IGL,Northern_Goshawk/bAccGen1_pri,27,38828,695.3744720304934
Bird,TRA,Northern_Goshawk/bAccGen1_pri,15,187780,79.88071147087017
Bird,TRB,Northern_Goshawk/bAccGen1_pri,6,57438,104.46046171524078
Bird,TRG,Northern_Goshawk/bAccGen1_pri,4,8888,450.04500450045003
Bird,TRA,Philippine_eagle/bPitJef1_pri,54,905126,59.660202005024715
Bird,TRB,Philippine_eagle/bPitJef1_pri,4,46166,86.64385045271412
Bird,TRG,Philippine_eagle/bPitJef1_pri,5,11417,437.9434177104318
Bird,IGH,WhiteTailed_Eagle/bHalAlb1_alt,81,47185,1716.6472395888525
Bird,IGL,WhiteTailed_Eagle/bHalAlb1_alt,29,35429,818.5384854215473
Bird,TRA,WhiteTailed_Eagle/bHalAlb1_alt,20,212226,94.23916014060482
Bird,IGH,WhiteTailed_Eagle/bHalAlb1_pri,93,57977,1604.0843782879417
Bird,IGL,WhiteTailed_Eagle/bHalAlb1_pri,32,36264,882.4178248400618
Bird,TRA,WhiteTailed_Eagle/bHalAlb1_pri,22,241622,91.05131155275596
Bird,TRB,WhiteTailed_Eagle/bHalAlb1_pri,6,58302,102.91242152927859
Bird,TRG,WhiteTailed_Eagle/bHalAlb1_pri,5,9378,533.1627212625293
Bird,IGL,Gyrfalcon/bFalRus1_alt,27,31320,862.0689655172414
Bird,TRA,Gyrfalcon/bFalRus1_alt,14,75451,185.5508873308505
Bird,TRB,Gyrfalcon/bFalRus1_alt,2,1517,1318.3915622940015
