# Assembly name:  bHaeMex1.pri
# Organism name:  Haemorhous mexicanus (house finch)
# Isolate:  bHaeMex1
# Sex:  female
# Taxid:          30427
# BioSample:      SAMN28453576
# BioProject:     PRJNA839499
# Submitter:      Vertebrate Genomes Project
# Date:           2022-12-29
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAPYKC01
# Assembly method: HiFiasm v. 0.15.4 + galaxy; purge_dups v. 1.2.5 + galaxy3; Bionano Solve v. 3.6.1 + galaxy2; Salsa v. 2.3 + galaxy0
# Expected final version: No
# Genome coverage: 36.85x
# Sequencing technology: PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_027477595.1
# RefSeq assembly accession: GCF_027477595.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_027406555.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_027477605.1	GCF_027477605.1	Primary Assembly
## 	GCF_031612595.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SUPER_1	assembled-molecule	1	Chromosome	CM050224.1	=	NC_082341.1	Primary Assembly	159305015	na
SUPER_2	assembled-molecule	2	Chromosome	CM050225.1	=	NC_082342.1	Primary Assembly	122820385	na
SUPER_3	assembled-molecule	3	Chromosome	CM050226.1	=	NC_082343.1	Primary Assembly	118570436	na
SUPER_4	assembled-molecule	4	Chromosome	CM050227.1	=	NC_082344.1	Primary Assembly	78191299	na
SUPER_5	assembled-molecule	5	Chromosome	CM050228.1	=	NC_082345.1	Primary Assembly	77212160	na
SUPER_6	assembled-molecule	6	Chromosome	CM050229.1	=	NC_082346.1	Primary Assembly	66865462	na
SUPER_7	assembled-molecule	7	Chromosome	CM050230.1	=	NC_082347.1	Primary Assembly	42994098	na
SUPER_8	assembled-molecule	8	Chromosome	CM050231.1	=	NC_082348.1	Primary Assembly	31663447	na
SUPER_9	assembled-molecule	9	Chromosome	CM050232.1	=	NC_082349.1	Primary Assembly	31627783	na
SUPER_10	assembled-molecule	10	Chromosome	CM050233.1	=	NC_082350.1	Primary Assembly	26782592	na
SUPER_11	assembled-molecule	11	Chromosome	CM050234.1	=	NC_082351.1	Primary Assembly	24390514	na
SUPER_12	assembled-molecule	12	Chromosome	CM050235.1	=	NC_082352.1	Primary Assembly	22991849	na
SUPER_13	assembled-molecule	13	Chromosome	CM050236.1	=	NC_082353.1	Primary Assembly	22531087	na
SUPER_14	assembled-molecule	14	Chromosome	CM050237.1	=	NC_082354.1	Primary Assembly	20964063	na
