# Assembly name:  bTaeGut7.mat
# Organism name:  Taeniopygia guttata (zebra finch)
# Isolate:  bTaeGut7
# Sex:  female
# Taxid:          59729
# BioSample:      SAMN47142318
# BioProject:     PRJNA1229770
# Submitter:      Vertebrate Genomes Project
# Date:           2025-03-21
# Assembly type:  haploid (maternal haplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JBMDLN01
# Assembly method: dorado correct ONT reads v. 0.7.3; hybrid verkko assembler v. 2.2.1; HiFiasm + manual curation v. 0.24.0; mitoHiFi assembler v. 3 + galaxy0
# Expected final version: No
# Genome coverage: 433.93x
# Sequencing technology: PacBio Sequel IIe HiFi; Oxford Nanopore PromethION; Arima Hi-C v2; Illumina NovaSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_048771995.1
# RefSeq assembly accession: GCF_048771995.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_048772025.1 (paternal haplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_048772255.1	GCF_048772255.1	Primary Assembly
## GCA_048772265.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1_mat	assembled-molecule	1	Chromosome	CM109788.1	=	NC_133024.1	Primary Assembly	115909749	na
chr1A_mat	assembled-molecule	1A	Chromosome	CM109789.1	=	NC_133025.1	Primary Assembly	72089520	na
chr2_mat	assembled-molecule	2	Chromosome	CM109790.1	=	NC_133026.1	Primary Assembly	152518735	na
chr3_mat	assembled-molecule	3	Chromosome	CM109791.1	=	NC_133027.1	Primary Assembly	115612305	na
chr4_mat	assembled-molecule	4	Chromosome	CM109792.1	=	NC_133028.1	Primary Assembly	73776267	na
chr4A_mat	assembled-molecule	4A	Chromosome	CM109793.1	=	NC_133029.1	Primary Assembly	19545315	na
chr5_mat	assembled-molecule	5	Chromosome	CM109794.1	=	NC_133030.1	Primary Assembly	65033001	na
chr6_mat	assembled-molecule	6	Chromosome	CM109795.1	=	NC_133031.1	Primary Assembly	36968704	na
chr7_mat	assembled-molecule	7	Chromosome	CM109796.1	=	NC_133032.1	Primary Assembly	39422672	na
chr8_mat	assembled-molecule	8	Chromosome	CM109797.1	=	NC_133033.1	Primary Assembly	32653262	na
chr9_mat	assembled-molecule	9	Chromosome	CM109798.1	=	NC_133034.1	Primary Assembly	26132161	na
chr10_mat	assembled-molecule	10	Chromosome	CM109799.1	=	NC_133035.1	Primary Assembly	20920522	na
chr11_mat	assembled-molecule	11	Chromosome	CM109800.1	=	NC_133036.1	Primary Assembly	21676805	na
chr12_mat	assembled-molecule	12	Chromosome	CM109801.1	=	NC_133037.1	Primary Assembly	20824288	na
chr13_mat	assembled-molecule	13	Chromosome	CM109802.1	=	NC_133038.1	Primary Assembly	18440361	na
chr14_mat	assembled-molecule	14	Chromosome	CM109803.1	=	NC_133039.1	Primary Assembly	16411571	na
