group,Locus,id,dist
Bird,IGH,European_Shag/bGulAri2_alt,111.0
Bird,IGH,European_Shag/bGulAri2_alt,4413.0
Bird,IGH,European_Shag/bGulAri2_alt,53.0
Bird,IGH,European_Shag/bGulAri2_alt,1068.0
Bird,IGH,European_Shag/bGulAri2_alt,338.0
Bird,IGH,European_Shag/bGulAri2_alt,1095.0
Bird,IGH,European_Shag/bGulAri2_alt,105.0
Bird,IGH,European_Shag/bGulAri2_alt,649.0
Bird,IGH,European_Shag/bGulAri2_alt,90.0
Bird,IGH,European_Shag/bGulAri2_alt,1264.0
Bird,IGH,European_Shag/bGulAri2_alt,358.0
Bird,IGH,European_Shag/bGulAri2_alt,420.0
Bird,IGH,European_Shag/bGulAri2_alt,176.0
Bird,IGH,European_Shag/bGulAri2_alt,727.0
Bird,IGL,European_Shag/bGulAri2_alt,880.0
Bird,IGL,European_Shag/bGulAri2_alt,882.0
Bird,IGL,European_Shag/bGulAri2_alt,1483.0
Bird,IGL,European_Shag/bGulAri2_alt,1254.0
Bird,IGL,European_Shag/bGulAri2_alt,893.0
Bird,IGL,European_Shag/bGulAri2_alt,1999.0
Bird,IGL,European_Shag/bGulAri2_alt,880.0
Bird,IGL,European_Shag/bGulAri2_alt,884.0
Bird,IGL,European_Shag/bGulAri2_alt,1485.0
Bird,IGL,European_Shag/bGulAri2_alt,1227.0
Bird,IGL,European_Shag/bGulAri2_alt,404.0
Bird,TRA,European_Shag/bGulAri2_alt,135655.0
Bird,TRA,European_Shag/bGulAri2_alt,21994.0
Bird,TRA,European_Shag/bGulAri2_alt,6698.0
Bird,TRA,European_Shag/bGulAri2_alt,13705.0
Bird,TRA,European_Shag/bGulAri2_alt,3082.0
Bird,TRA,European_Shag/bGulAri2_alt,9047.0
Bird,TRA,European_Shag/bGulAri2_alt,8569.0
Bird,TRA,European_Shag/bGulAri2_alt,3131.0
Bird,TRA,European_Shag/bGulAri2_alt,11091.0
Bird,TRA,European_Shag/bGulAri2_alt,3083.0
Bird,TRA,European_Shag/bGulAri2_alt,9047.0
Bird,TRA,European_Shag/bGulAri2_alt,10907.0
Bird,TRA,European_Shag/bGulAri2_alt,3083.0
Bird,TRA,European_Shag/bGulAri2_alt,8429.0
Bird,TRA,European_Shag/bGulAri2_alt,10913.0
Bird,TRA,European_Shag/bGulAri2_alt,3083.0
Bird,TRA,European_Shag/bGulAri2_alt,8429.0
Bird,TRA,European_Shag/bGulAri2_alt,8557.0
Bird,TRA,European_Shag/bGulAri2_alt,12297.0
Bird,TRA,European_Shag/bGulAri2_alt,3084.0
Bird,TRA,European_Shag/bGulAri2_alt,8430.0
Bird,TRA,European_Shag/bGulAri2_alt,8557.0
Bird,TRA,European_Shag/bGulAri2_alt,7087.0
Bird,TRA,European_Shag/bGulAri2_alt,6196.0
Bird,TRB,European_Shag/bGulAri2_alt,54499.0
Bird,TRB,European_Shag/bGulAri2_alt,2828.0
Bird,TRG,European_Shag/bGulAri2_alt,2238.0
Bird,TRG,European_Shag/bGulAri2_alt,2910.0
Bird,TRG,European_Shag/bGulAri2_alt,1780.0
Bird,TRG,European_Shag/bGulAri2_alt,1805.0
Bird,TRG,European_Shag/bGulAri2_alt,1848.0
Bird,TRG,European_Shag/bGulAri2_alt,3495.0
Bird,TRG,European_Shag/bGulAri2_alt,1804.0
Bird,TRG,European_Shag/bGulAri2_alt,4818.0
Bird,TRG,European_Shag/bGulAri2_alt,6460.0
Bird,TRG,European_Shag/bGulAri2_alt,1780.0
Bird,TRG,European_Shag/bGulAri2_alt,1805.0
Bird,IGH,European_Shag/bGulAri2_pri,130.0
Bird,IGH,European_Shag/bGulAri2_pri,701.0
Bird,IGH,European_Shag/bGulAri2_pri,116.0
Bird,IGH,European_Shag/bGulAri2_pri,648.0
Bird,IGH,European_Shag/bGulAri2_pri,742.0
Bird,IGH,European_Shag/bGulAri2_pri,90.0
Bird,IGH,European_Shag/bGulAri2_pri,1263.0
Bird,IGH,European_Shag/bGulAri2_pri,358.0
Bird,IGH,European_Shag/bGulAri2_pri,902.0
Bird,IGH,European_Shag/bGulAri2_pri,280.0
Bird,IGH,European_Shag/bGulAri2_pri,899.0
Bird,IGH,European_Shag/bGulAri2_pri,2.0
Bird,IGH,European_Shag/bGulAri2_pri,584.0
Bird,IGH,European_Shag/bGulAri2_pri,102.0
Bird,IGH,European_Shag/bGulAri2_pri,1839.0
Bird,IGH,European_Shag/bGulAri2_pri,90.0
Bird,IGH,European_Shag/bGulAri2_pri,1094.0
Bird,IGH,European_Shag/bGulAri2_pri,111.0
Bird,IGH,European_Shag/bGulAri2_pri,643.0
Bird,IGH,European_Shag/bGulAri2_pri,97.0
Bird,IGH,European_Shag/bGulAri2_pri,741.0
Bird,IGH,European_Shag/bGulAri2_pri,130.0
Bird,IGH,European_Shag/bGulAri2_pri,453.0
Bird,IGH,European_Shag/bGulAri2_pri,320.0
Bird,IGH,European_Shag/bGulAri2_pri,360.0
Bird,IGH,European_Shag/bGulAri2_pri,732.0
Bird,IGH,European_Shag/bGulAri2_pri,108.0
Bird,IGH,European_Shag/bGulAri2_pri,444.0
Bird,IGH,European_Shag/bGulAri2_pri,72.0
Bird,IGH,European_Shag/bGulAri2_pri,502.0
Bird,IGH,European_Shag/bGulAri2_pri,273.0
Bird,IGH,European_Shag/bGulAri2_pri,1023.0
Bird,IGH,European_Shag/bGulAri2_pri,114.0
Bird,IGH,European_Shag/bGulAri2_pri,2027.0
Bird,IGH,European_Shag/bGulAri2_pri,136.0
Bird,IGH,European_Shag/bGulAri2_pri,418.0
Bird,IGH,European_Shag/bGulAri2_pri,110.0
Bird,IGH,European_Shag/bGulAri2_pri,1416.0
Bird,IGH,European_Shag/bGulAri2_pri,93.0
