group,id,gap
Bird,European_Shag/bGulAri2_alt,1744.0
Bird,European_Shag/bGulAri2_pri,4989.0
Bird,Great_Cormorant/bPhaCar2_alt,2144.0
Bird,Great_Cormorant/bPhaCar2_pri,6238.0
Bird,Black_Rail/bLatJam1_alt,0.0
Bird,Black_Rail/bLatJam1_pri,0.0
Bird,Common_Moorhen/bGalChl1_pri,0.0
Bird,Eurasian_Crane/bGruGru1_pri,44715.0
Bird,Grey_CrownedCrane/bBalReg1_pri,3719.0
Bird,Takahe/bPorHoc1_pri,0.0
Bird,Virginia_Rail/bRalLim1_alt,0.0
Bird,Virginia_Rail/bRalLim1_pri,0.0
Bird,Whooping_Crane/bGruAme1_pri,5948.0
Bird,BandTailed_Pigeon/bPatFas1_alt,125994.0
Bird,BandTailed_Pigeon/bPatFas1_pri,0.0
Bird,Eurasian_CollaredDove/bStrDea1_pri,0.0
Bird,Nicobar_Pigeon/bCalNic1_alt,0.0
Bird,Nicobar_Pigeon/bCalNic1_pri,0.0
Bird,Pink_Pigeon/bNesMay2_alt,0.0
Bird,Pink_Pigeon/bNesMay2_pri,438951.0
Bird,Rock_Dove/bColLiv1_alt,2511.0
Bird,Rock_Dove/bColLiv1_pri,0.0
Bird,Bearded_Vulture/bGypBar2_pri,3833.0
Bird,Common_Buzzard/bButBut1_pri,11181.0
Bird,Crested_Eagle/bMorGui1_alt,6655.0
Bird,Crested_Eagle/bMorGui1_pri,8294.0
Bird,European_Golden_Eagle/bAquChr1_alt,6410.0
Bird,European_Golden_Eagle/bAquChr1_pri,6177.0
Bird,Golden_Eagle/bAquChr2_alt,6281.0
Bird,Golden_Eagle/bAquChr2_pri,5539.0
Bird,Harpy_Eagle/bHarHar1_pri,6272.0
Bird,Northern_Goshawk/bAccGen1_alt,0.0
Bird,Northern_Goshawk/bAccGen1_pri,5642.0
Bird,WhiteTailed_Eagle/bHalAlb1_alt,8188.0
Bird,WhiteTailed_Eagle/bHalAlb1_pri,6925.0
Bird,Gyrfalcon/bFalRus1_alt,0.0
Bird,Gyrfalcon/bFalRus1_pri,4059.0
Bird,Lesser_Kestrel/bFalNau1_alt,1655.0
Bird,Mauritius_Kestrel/bFalPun1_alt,3216.0
Bird,Peregrine_Falcon/bFalPer1_alt,295752.0
Bird,Peregrine_Falcon/bFalPer1_pri,0.0
Bird,Saker_Falcon/bFalChe1_pri,36646.0
Bird,Allens_Hummingbird/bSelSas1_alt,47080.0
Bird,Allens_Hummingbird/bSelSas1_pri,0.0
Bird,Eurasian_Spoonbill/bPlaLeu2_pri,18446.0
Bird,Plumbeous_Ibis/bTheCae1_pri,3600.0
Bird,California_Quail/bCalCai1_alt,13206.0
Bird,California_Quail/bCalCai1_pri,0.0
Bird,IMGT_Chicken/bGRCg6a_pri,0.0
Bird,King_Quail/bCotChi1_alt,3496.0
Bird,Mountain_Quail/bOrePic1_alt,10319.0
Bird,Mountain_Quail/bOrePic1_pri,0.0
Bird,Rock_Ptarmigan/bLagMut1_pri,0.0
Bird,Western_Capercaillie/bTetUro1_pri,0.0
Bird,White_Leghorn_Layer_Chicken/bGalGal1_alt,4245.0
Bird,White_Leghorn_Layer_Chicken/bGalGal1_pri,5544.0
Bird,Abyssinian_Ground_Hornbill/bBucAby1_alt,5339.0
Bird,Abyssinian_Ground_Hornbill/bBucAby1_pri,4225.0
Bird,American_Flamingo/bPhoRub2_pri,0.0
Bird,Common_Cuckoo/bCucCan1_alt,0.0
Bird,Common_Cuckoo/bCucCan1_pri,0.0
Bird,Common_Ostrich/bStrCam1_alt,394257.0
Bird,Common_Ostrich/bStrCam1_pri,303312.0
Bird,Common_Swift/bApuApu2_alt,0.0
Bird,Common_Swift/bApuApu2_pri,2941.0
Bird,Corys_Shearwater/bCalBor7_pri,0.0
Bird,CuckooRoller/bLepDis1_alt,4208.0
Bird,CuckooRoller/bLepDis1_pri,3767.0
Bird,Elegant_Crested_Tinamou/bEudEle1_pri,0.0
Bird,Emu/bDroNov1_alt,3035.0
Bird,Emu/bDroNov1_pri,3240.0
Bird,Eurasian_Nightjar/bCapEur3_alt,0.0
Bird,Eurasian_Nightjar/bCapEur3_pri,0.0
Bird,Great_Potoo/bNycGra1_alt,6478.0
Bird,Great_Potoo/bNycGra1_pri,3683.0
Bird,Hoatzin/bOpiHoa1_alt,44308.0
Bird,Hoatzin/bOpiHoa1_pri,80645.0
Bird,Humboldt_Penguin/bSphHub1_alt,9649.0
Bird,Humboldt_Penguin/bSphHub1_pri,6069.0
Bird,Kagu/bRhyJub1_alt,6659.0
Bird,Kagu/bRhyJub1_pri,6785.0
Bird,King_Vulture/bSarPap1_alt,2955.0
Bird,King_Vulture/bSarPap1_pri,3598.0
Bird,Lesser_Rhea/bPtePen1_alt,2673.0
Bird,Lesser_Rhea/bPtePen1_pri,0.0
Bird,Macqueens_Bustard/bChlMac1_alt,2048.0
Bird,Macqueens_Bustard/bChlMac1_pri,4589.0
Bird,Maguari_Stork/bCicMag1_pri,16952.0
Bird,Mountain_OwletNightjar/bAegAlb1_alt,1294.0
Bird,Mountain_OwletNightjar/bAegAlb1_pri,1990.0
Bird,North_Island_Brown_Kiwi/bAptMan1_alt,3809.0
Bird,North_Island_Brown_Kiwi/bAptMan1_pri,2896.0
