Contig,Source,Locus,Number of Genes (before filtering)
CAXWWO010002093.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,IGH,19
OZ187171.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,IGL,20
OY720092.1,Doves/Pink_Pigeon/bNesMay2_pri,IGH,22
OY720074.1,Doves/Pink_Pigeon/bNesMay2_pri,IGL,19
CAUJAQ010001068.1,Doves/Pink_Pigeon/bNesMay2_alt,IGH,22
CAUJAQ010000419.1,Doves/Pink_Pigeon/bNesMay2_alt,IGL,18
CM069742.1,Doves/Nicobar_Pigeon/bCalNic1_pri,IGH,22
CM069721.1,Doves/Nicobar_Pigeon/bCalNic1_pri,IGL,21
CM069662.1,Doves/Nicobar_Pigeon/bCalNic1_alt,IGH,26
CM069641.1,Doves/Nicobar_Pigeon/bCalNic1_alt,IGL,21
CM073078.2,Doves/BandTailed_Pigeon/bPatFas1_alt,IGH,2
CM073070.2,Doves/BandTailed_Pigeon/bPatFas1_alt,IGL,17
CM073037.2,Doves/BandTailed_Pigeon/bPatFas1_pri,IGH,22
CM073021.2,Doves/BandTailed_Pigeon/bPatFas1_pri,IGL,18
CM070383.1,Doves/Rock_Dove/bColLiv1_pri,IGH,16
CM070365.1,Doves/Rock_Dove/bColLiv1_pri,IGL,18
JAYMZE020000363.1,Doves/Rock_Dove/bColLiv1_alt,IGH,16
CM070939.1,Doves/Rock_Dove/bColLiv1_alt,IGL,18
LR594567.2,Doves/European_Turtle_Dove/bStrTur1_pri,IGL,17
CABFKB020001418.1,Doves/European_Turtle_Dove/bStrTur1_alt,IGL,19
UFQG04000065.1,Eagles/European_Golden_Eagle/bAquChr1_pri,IGH,48
LR606189.1,Eagles/European_Golden_Eagle/bAquChr1_pri,IGL,35
CABFWM020003829.1,Eagles/European_Golden_Eagle/bAquChr1_alt,IGH,2
OX381666.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,IGH,93
OX381647.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,IGL,32
CANHNM010002107.1,Eagles/WhiteTailed_Eagle/bHalAlb1_alt,IGH,81
CANHNM010002704.1,Eagles/WhiteTailed_Eagle/bHalAlb1_alt,IGL,29
JAPMHW010000108.1,Eagles/Harpy_Eagle/bHarHar1_pri,IGH,62
CM048722.1,Eagles/Harpy_Eagle/bHarHar1_pri,IGL,71
JAPMHX010000417.1,Eagles/Harpy_Eagle/bHarHar1_alt,IGL,34
JBIYQX010000063.1,Eagles/Crested_Eagle/bMorGui1_pri,IGH,66
CM098359.1,Eagles/Crested_Eagle/bMorGui1_pri,IGL,59
CM098413.1,Eagles/Crested_Eagle/bMorGui1_alt,IGL,38
CAKNBG010000024.1,Eagles/Northern_Goshawk/bAccGen1_pri,IGH,54
OV839367.1,Eagles/Northern_Goshawk/bAccGen1_pri,IGL,27
CAKNBJ010002717.1,Eagles/Northern_Goshawk/bAccGen1_alt,IGH,62
CAKNBJ010000169.1,Eagles/Northern_Goshawk/bAccGen1_alt,IGL,33
JAQMCN010000209.1,Eagles/Bearded_Vulture/bGypBar2_alt,IGH,48
JAQMCN010000977.1,Eagles/Bearded_Vulture/bGypBar2_alt,IGL,41
JAQMCM010000054.1,Eagles/Bearded_Vulture/bGypBar2_pri,IGH,58
CM051540.1,Eagles/Bearded_Vulture/bGypBar2_pri,IGL,62
CAXLPB010000056.1,Eagles/Common_Buzzard/bButBut1_pri,IGH,88
OZ076930.1,Eagles/Common_Buzzard/bButBut1_pri,IGL,34
JAUIRP010000042.1,Eagles/Golden_Eagle/bAquChr2_pri,IGH,61
JAUIRP010000010.1,Eagles/Golden_Eagle/bAquChr2_pri,IGL,34
JAUIRQ010000052.1,Eagles/Golden_Eagle/bAquChr2_alt,IGH,62
JAUIRQ010000010.1,Eagles/Golden_Eagle/bAquChr2_alt,IGL,32
JAMOAR010000107.1,Falcons/Peregrine_Falcon/bFalPer1_pri,IGH,16
CM042630.1,Falcons/Peregrine_Falcon/bFalPer1_pri,IGL,30
JAMOAS010000543.1,Falcons/Peregrine_Falcon/bFalPer1_alt,IGH,1
JAMOAS010000358.1,Falcons/Peregrine_Falcon/bFalPer1_alt,IGL,9
JADCQO010000121.1,Falcons/Gyrfalcon/bFalRus1_pri,IGH,43
CM026666.1,Falcons/Gyrfalcon/bFalRus1_pri,IGL,26
JADCQP010000741.1,Falcons/Gyrfalcon/bFalRus1_alt,IGH,1
JADCQP010003572.1,Falcons/Gyrfalcon/bFalRus1_alt,IGL,27
JAMOAU010000024.1,Falcons/Lanner_Falcon/bFalBia1_alt,IGH,1
JAMOAU010000395.1,Falcons/Lanner_Falcon/bFalBia1_alt,IGL,27
CM042605.1,Falcons/Lanner_Falcon/bFalBia1_pri,IGL,29
JAMOAL010000205.1,Falcons/Saker_Falcon/bFalChe1_pri,IGH,29
CM042449.1,Falcons/Saker_Falcon/bFalChe1_pri,IGL,43
JAMOAM010000955.1,Falcons/Saker_Falcon/bFalChe1_alt,IGH,1
JAMOAM010000772.1,Falcons/Saker_Falcon/bFalChe1_alt,IGL,47
JAGFVT010000381.1,Falcons/Lesser_Kestrel/bFalNau1_pri,IGH,12
JAGFVT010000002.1,Falcons/Lesser_Kestrel/bFalNau1_pri,IGL,52
JAGFVS010000275.1,Falcons/Lesser_Kestrel/bFalNau1_alt,IGH,26
CM030145.1,Falcons/Lesser_Kestrel/bFalNau1_alt,IGL,65
